City,Country,Latitude,Longitude,Timestamp_UTC,Temperature_C,Wind_KPH,Condition,AQI_US,CO,NO2,O3,PM2.5
Kampala,Uganda,0.3156,32.5656,1766109600,17.9,3.6,Light rain shower,2,505.85,8.15,51.0,26.55
Algiers,Algeria,36.7631,3.0506,1766109600,14.4,3.6,Partly cloudy,2,305.85,55.35,7.0,34.65
Lagos,Nigeria,6.4531,3.3958,1766283300,26.2,12.2,Partly Cloudy,2,340.85,6.65,51.0,17.85
Accra,Ghana,5.55,-0.2167,1766283300,28.3,10.4,Partly cloudy,1,216.85,9.05,47.0,13.25
Nairobi,Kenya,-1.2833,36.8167,1766283300,17.3,11.9,Partly cloudy,1,228.85,5.35,43.0,12.85
Johannesburg,South Africa,-26.2,28.0833,1766283300,17.3,11.5,Patchy rain nearby,2,173.85,18.55,57.0,22.25
Cairo,Egypt,30.05,31.25,1766283300,15.2,10.8,Overcast,2,523.85,63.35,10.0,18.45
Casablanca,Morocco,33.5931,-7.6164,1766283300,11.4,14.4,Clear,2,186.85,13.05,45.0,16.85
Addis Ababa,Ethiopia,9.0333,38.7,1766283300,14.4,7.2,Partly cloudy,2,632.85,7.35,43.0,22.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1766283300,25.7,6.1,Patchy rain nearby,1,147.85,8.35,12.0,10.15
Kampala,Uganda,0.3156,32.5656,1766283300,20.3,3.6,Patchy light rain with thunder,3,483.85,16.25,27.0,53.35
Algiers,Algeria,36.7631,3.0506,1766283300,12.1,21.6,Partly cloudy,1,142.85,8.65,63.0,4.75
Lagos,Nigeria,6.4531,3.3958,1766455200,27.1,16.6,Partly Cloudy,2,300.85,8.35,52.0,24.55
Accra,Ghana,5.55,-0.2167,1766455200,26.3,13.7,Partly Cloudy,2,245.85,12.45,41.0,16.25
Nairobi,Kenya,-1.2833,36.8167,1766455200,15.2,8.3,Clear,1,244.85,8.05,37.0,11.35
Johannesburg,South Africa,-26.2,28.0833,1766455200,17.0,10.8,Cloudy,1,198.85,10.75,33.0,6.55
Cairo,Egypt,30.05,31.25,1766455200,13.1,7.6,Mist,2,522.85,60.45,1.0,37.55
Casablanca,Morocco,33.5931,-7.6164,1766455200,12.3,14.0,Patchy rain nearby,1,153.85,7.95,55.0,10.95
Addis Ababa,Ethiopia,9.0333,38.7,1766455200,13.0,4.7,Partly cloudy,1,1528.85,6.35,38.0,14.35
Dar Es Salaam,Tanzania,-6.8,39.2833,1766455200,26.1,12.6,Patchy rain nearby,1,144.85,3.25,49.0,10.15
Kampala,Uganda,0.3156,32.5656,1766455200,17.6,3.6,Partly Cloudy,3,366.85,16.05,27.0,52.35
Algiers,Algeria,36.7631,3.0506,1766455200,8.4,19.4,Patchy light rain with thunder,1,146.85,13.95,56.0,4.85
